,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
388,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
389,1326.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
390,1197.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
391,1205.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
392,1197.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
393,1205.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
394,1480.0,11.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
395,1456.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
396,1456.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
397,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
398,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
399,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
400,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
401,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
402,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
403,1246.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
404,1167.0,12.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
405,1167.0,12.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
406,1397.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
407,1132.0,12.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
408,1132.0,12.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
409,1369.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
410,1369.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
411,1080.0,12.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
412,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
413,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
414,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
415,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
416,1180.0,13.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
417,1322.0,13.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
418,1309.0,13.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
419,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
420,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
421,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
422,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
423,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
424,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
425,1117.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
426,1041.0,14.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
427,1041.0,14.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
428,1188.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
429,1188.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
430,1254.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
431,1098.0,14.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
432,1098.0,14.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
433,1230.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
434,1230.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
435,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
436,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
437,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
438,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
439,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
440,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
441,1063.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
442,991.0,15.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
443,991.0,15.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
444,1121.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
445,1121.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
446,2171.0,15.3,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
447,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
448,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
449,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
450,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
451,1019.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
452,935.0,16.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
453,935.0,16.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
454,1075.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
455,1075.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
456,1144.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
457,1130.0,16.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
458,1124.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
459,1124.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
460,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
461,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
462,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
463,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
464,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
465,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
466,968.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
467,897.0,17.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
468,897.0,17.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
469,1023.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
470,1023.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
471,1098.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
472,1074.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
473,1074.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
