,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
756,1137.0,0.4,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
757,1137.0,0.4,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
758,1137.0,0.4,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
759,1137.0,0.4,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
760,1136.0,0.5,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
761,1136.0,0.5,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
762,1136.0,0.5,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
763,1136.0,0.5,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
764,1135.0,0.6,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
765,1135.0,0.6,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
766,1135.0,0.6,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
767,1135.0,0.6,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
768,1135.0,0.7,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
769,1135.0,0.7,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
770,1135.0,0.7,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
771,1135.0,0.7,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
772,1134.0,0.8,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
773,1134.0,0.8,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
774,1134.0,0.8,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
775,1134.0,0.8,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
776,1133.0,0.9,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
777,1133.0,0.9,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
778,1133.0,0.9,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
779,1133.0,0.9,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
780,1133.0,1.0,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
781,1133.0,1.0,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
782,1133.0,1.0,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
783,1133.0,1.0,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
784,1132.0,1.1,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
785,1131.0,1.2,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
786,1131.0,1.2,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
787,1131.0,1.2,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
788,1131.0,1.2,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
789,1131.0,1.3,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
790,1130.0,1.4,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
791,1130.0,1.5,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
792,1129.0,1.6,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
793,1129.0,1.7,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
794,1129.0,1.7,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
795,1129.0,1.7,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
796,1129.0,1.7,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
797,1128.0,1.8,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
798,1127.0,1.9,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
799,1127.0,2.0,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
800,1126.0,2.1,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
801,1126.0,2.1,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
802,1126.0,2.1,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
803,1126.0,2.1,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
804,1126.0,2.2,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
805,1125.0,2.3,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
806,1125.0,2.3,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
807,1125.0,2.3,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
808,1125.0,2.3,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
809,1125.0,2.4,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
810,1124.0,2.5,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
811,1123.0,2.6,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
812,1123.0,2.6,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
813,1123.0,2.6,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
814,1123.0,2.6,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
815,1123.0,2.7,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
816,1122.0,2.8,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
817,1122.0,2.8,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
818,1122.0,2.8,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
819,1122.0,2.8,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
820,1121.0,2.9,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
821,1121.0,2.9,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
822,1121.0,3.0,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
823,1121.0,3.0,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
824,1121.0,3.0,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
825,1121.0,3.0,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
826,1120.0,3.1,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
827,1119.0,3.2,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
828,1119.0,3.2,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
829,1119.0,3.2,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
830,1119.0,3.2,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
831,1119.0,3.3,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
832,1118.0,3.4,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
833,1118.0,3.4,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
834,1118.0,3.4,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
835,1118.0,3.4,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
836,1117.0,3.5,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
837,1116.0,3.6,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
838,1116.0,3.6,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
839,1116.0,3.6,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
840,1116.0,3.6,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
841,1115.0,3.7,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
842,1115.0,3.7,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
843,1115.0,3.7,0.28,56.6,580.0,11.0,94.0,8.0,11.0,B
844,1115.0,3.7,0.28,56.6,580.0,11.0,94.0,8.0,46.0,B
845,1114.0,3.8,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
846,1114.0,3.9,0.28,56.6,580.0,11.0,94.0,8.0,8.0,B
847,1114.0,3.9,0.28,56.6,580.0,11.0,94.0,8.0,36.0,B
