P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
4681A20168H,43,962,6.5,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,1442,6.7,0.37,45,320,32.5,104,8,1~4,A
4681A20168H,43,919,7,0.25,136.2,630,22,88,8,1~4,A
4681A20168G,43,896,7.1,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,1400,7.3,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1379,7.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1358,7.7,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1358,7.9,0.37,45,320,32.5,104,8,1~4,A
4681A20168G,43,806,9,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,1196,10.3,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1158,11.2,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1121,12,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1050,13.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,1016,14.5,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,967,15.8,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,927,16.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,892,17.2,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,868,17.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,837,17.8,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,789,18.2,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,742,18.5,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,703,18.7,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,683,18.8,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,649,18.9,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,616,19,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,581,19.1,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,558,19.2,0.37,45,320,32.5,104,8,1~4,A
EAU61883002,30,2925,2,0.28,87,450,26.5,88,8,3~7,B
EAU62244103,250,1395,2,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1395,2,0.52,18.85,218,42,107,10,3~7,B
EAU61883002,30,2491,2.5,0.28,87,450,26.5,88,8,3~7,B
EAU62023302,100,3880,3,0.35,38,340,21,104,8,3~7,B
EAU63563101,100,3573,3,0.35,38,340,21,104,8,3~7,B
EAU61883002,30,2039,3.5,0.28,87,450,26.5,88,8,3~7,B
EAU62023302,100,3431,3.5,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,3996,3.5,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,3996,3.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,3996,3.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,3515,3.5,0.35,38,340,21,104,8,3~7,B
EAU62023302,100,3106,4,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,3650,4,0.37,34.2,320,21,104,8,3~7,B
EAU62244103,250,1355,4,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1355,4,0.52,18.85,218,42,107,10,3~7,B
EAU62903304,124,3650,4,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,3650,4,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,3182,4,0.35,38,340,21,104,8,3~7,B
EAU62023302,100,2849,4.5,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,3350,4.5,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,3350,4.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,3350,4.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,2930,4.5,0.35,38,340,21,104,8,3~7,B
EAU62023302,100,2605,5,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,3083,5,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,3083,5,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,3083,5,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,2699,5,0.35,38,340,21,104,8,3~7,B
EAU62903304,124,2992,5.4,0.4,36.6,300,32.5,104,8,3~7,B
